name,osv_id,published_utc,advisory_age_days,pypi_age_days,current_release_count,pypi_summary,source_advisory
libtpu-nightly,MAL-2023-1375,2023-05-03T04:09:26+00:00,1130.495950118125,1204.5833809381945,1,A small example package,
discord-boost,MAL-2024-5057,2024-06-25T13:34:45+00:00,711.1033690996064,42.255355579780094,6,Discord Boost Library,
nvidia-clara-sim,MAL-2024-10315,2024-07-26T16:53:30+00:00,679.9653482662732,575.0150833168866,1,Zero version placeholder for nvidia-clara-sim,https://bad-packages.kam193.eu/pypi/package/nvidia-clara-sim
chunqiuwestj-pkg-westj137,MAL-2024-12235,2024-07-26T16:53:30+00:00,679.9653482662732,1117.221122113426,1,A small example package,https://bad-packages.kam193.eu/pypi/package/chunqiuwestj-pkg-westj137
crunchie,MAL-2024-12250,2024-07-26T16:53:30+00:00,679.9653482662732,1075.238421611551,1,Package that does absolutely nothing,https://bad-packages.kam193.eu/pypi/package/crunchie
hack-test,MAL-2024-12281,2024-08-23T22:55:41+00:00,651.7138320625694,195.03820910627314,4,,https://bad-packages.kam193.eu/pypi/package/hack-test
bitcommit,MAL-2024-12219,2024-08-27T21:24:04+00:00,647.7774547477546,1487.0529744906482,1,No more commenting your code: Use the GPT3-based CodeCommenter,https://bad-packages.kam193.eu/pypi/package/bitcommit
c2,MAL-2024-12224,2024-08-27T21:24:04+00:00,647.7774547477546,1488.5147294230903,8,No more commenting your code: Use the GPT3-based CodeCommenter,https://bad-packages.kam193.eu/pypi/package/c2
pymatcha,MAL-2024-12332,2024-09-04T21:25:32+00:00,639.7764362292361,598.0238815782061,1,,https://bad-packages.kam193.eu/pypi/package/pymatcha
spiderai,MAL-2024-12348,2024-10-02T09:16:00+00:00,612.2830565996064,555.0712881120255,4,A Python library for extracting structured data from web pages using AI.,https://bad-packages.kam193.eu/pypi/package/spiderai
apilogicserver,MAL-2025-3929,2025-05-17T03:44:30+00:00,385.5132649329398,1945.6323246812265,62,,
treeherder-submitter,MAL-2025-191910,2025-07-28T15:45:43+00:00,313.01242002553244,313.08286505355323,1,Safe dummy package to demonstrate PoC upload - cygut7,https://bad-packages.kam193.eu/pypi/package/treeherder-submitter
kwargs,MAL-2025-6533,2025-07-31T19:15:29+00:00,309.8667487292361,147.78286097251157,1,kwargs,
num2words,MAL-2025-6794,2025-08-06T01:01:03+00:00,304.6267718773843,4756.94394497661,15,Modules to convert numbers to words. Easily extensible.,https://nitter.tiekoetter.com/SFLinux/status/1949906299308953827
flask-tdg-cyberx,MAL-2025-191732,2025-08-17T19:39:48+00:00,292.84986215516204,289.1966682251852,1,play CTF,https://bad-packages.kam193.eu/pypi/package/flask-tdg-cyberx
