package_name,observation_time_utc,status,first_seen_utc,last_release_utc,release_count,latest_version,summary,home_page,author,requires_python,yanked_any,classifiers_count,has_description,http_status
aioohttp,2026-06-20T01:24:14.907524+00:00,not_found,,,0,,,,,,False,0,False,404
apilogicserver,2026-06-20T01:24:15.407712+00:00,alive,2021-02-07T00:53:03.237748Z,2026-06-19T02:54:13.819604Z,69,17.0.39,,,,>=3.10,True,11,True,200
arangopipe,2026-06-20T01:24:15.907891+00:00,alive,2019-09-24T00:36:49.038272Z,2022-09-14T22:29:54.072758Z,24,0.0.70.0.2,package for machine learning meta-data management and analysis,https://github.com/arangoml/arangopipe,ArangoDB,,False,3,True,200
asyncio-addon,2026-06-20T01:24:16.407948+00:00,alive,2025-07-04T06:40:12.860189Z,2025-07-05T02:56:35.322090Z,3,0.3.0,Some convenient utilities for asyncio,,,>=3.11,False,4,True,200
bioql,2026-06-20T01:24:16.908023+00:00,alive,2025-09-29T17:11:10.548095Z,2026-01-15T00:08:26.895362Z,63,7.0.1,"Production Quantum Computing for Drug Discovery - FMO-VQE, DC-QAOA, Adaptive QEC, Real Hardware Only",https://bioql.bio,SpectrixRD,>=3.8,False,13,True,200
bitcommit,2026-06-20T01:24:17.408192+00:00,alive,2022-05-11T14:47:19.094214Z,2022-05-11T14:47:20.852776Z,1,0.1.7,No more commenting your code: Use the GPT3-based CodeCommenter,,"Standard Data, Inc.",">=3.9,<4.0",False,3,False,200
c2,2026-06-20T01:24:17.908359+00:00,alive,2022-05-10T03:42:23.468051Z,2022-05-10T19:46:05.249191Z,8,0.1.7,No more commenting your code: Use the GPT3-based CodeCommenter,,"Standard Data, Inc.",">=3.9,<4.0",False,3,False,200
chunqiuwestj-pkg-westj137,2026-06-20T01:24:18.408532+00:00,alive,2023-05-16T10:45:11.139606Z,2023-05-16T10:45:11.139606Z,1,0.3.0,A small example package,https://github.com,qinshutian,>=3.6,False,3,False,200
cick,2026-06-20T01:24:18.908701+00:00,not_found,,,0,,,,,,False,0,False,404
click-extended,2026-06-20T01:24:19.408886+00:00,alive,2025-11-14T11:42:21.781557Z,2026-06-11T13:06:49.764190Z,52,1.4.3,"An extension to Click with additional features like automatic async support, aliasing and a modular decorator system.",,,>=3.10,False,13,True,200
crunchie,2026-06-20T01:24:19.908943+00:00,alive,2023-06-27T10:20:16.462968Z,2023-06-27T10:20:19.048289Z,1,205.0.0,Package that does absolutely nothing,,daneee,,False,0,False,200
discord-boost,2026-06-20T01:24:20.409120+00:00,alive,2026-04-25T09:55:53.368113Z,2026-04-25T10:13:03.202243Z,6,0.6.0,Discord Boost Library,,D1sc00rd,>=3.8,False,0,False,200
djanggo,2026-06-20T01:24:20.909287+00:00,not_found,,,0,,,,,,False,0,False,404
django-cli,2026-06-20T01:24:21.409462+00:00,alive,,,1,0.0.1,Command line interface for sensible Django projects.,https://github.com/brandonjschwartz/django-cli,Brandon J. Schwartz,,False,10,True,200
elementary-data,2026-06-20T01:24:21.909630+00:00,alive,2022-02-01T12:14:51.674478Z,2026-06-02T13:25:58.845966Z,95,0.24.1,Data monitoring and lineage,,Elementary,"<3.14,>=3.10",False,9,True,200
flask-jwt-auth,2026-06-20T01:24:22.409803+00:00,alive,2020-08-24T13:52:09.618674Z,2021-12-03T06:24:06.200099Z,6,0.0.10,This module contains a simple class to implement authentication and authorization in a Flask app using JSON Web Token (JWT),https://github.com/Quakingaspen-codehub/flask_jwt_auth,Quaking Aspen,>=3.6,False,3,True,200
